"Type","Component","Connection","Pin","PinName","Signal","Sheet","Location","ComponentType","Value","PartNumber","A/B/NF","Module","BoardSide","ConnectionType"
"signal",,"P4",3,,"TXN",3,"I5",,,,,"LAN9512 ETH (EEPROM)",,"data"
"signal",,"P4",4,,"RXP",3,"I5",,,,,"LAN9512 ETH (EEPROM)",,"data"
"signal",,"P4",5,,"ETX_3V3",3,"I6",,,,,"LAN9512 ETH (EEPROM)",,"power"
"signal",,"P4",6,,"RXN",3,"I6",,,,,"LAN9512 ETH (EEPROM)",,"data"
"signal",,"P4",7,,"nc",3,"I6",,,,,"LAN9512 ETH (EEPROM)",,"nc"
"signal",,"P4",8,,"nc",3,"I6",,,,,"LAN9512 ETH (EEPROM)",,"nc"
"signal",,"P4",9,,"PE",3,"I6",,,,,"LAN9512 ETH (EEPROM)",,"ground"
"signal",,"P4",10,,"PE",3,"I6",,,,,"LAN9512 ETH (EEPROM)",,"ground"
"power",,,,,"+3V3",3,"B5",,,,,"BCM2835 USB",,
"power",,,,,"GND",3,"B6",,,,,"BCM2835 USB",,
"power",,,,,"+1V8",3,"A6",,,,,"BCM2835 USB",,
"power",,,,,"GND",3,"A6",,,,,"BCM2835 USB",,
"power",,,,,"GND",3,"B7",,,,,"BCM2835 USB",,
"power",,,,,"GND",3,"B7",,,,,"BCM2835 USB",,
"power",,,,,"GND",3,"C7",,,,,"BCM2835 USB",,
"power",,,,,"+5V0",3,"E7",,,,,"BCM2835 USB",,
"power",,,,,"GND",3,"E8",,,,,"BCM2835 USB",,
"power",,,,,"GND",3,"F8",,,,,"BCM2835 USB",,
"power",,,,,"GND",3,"F9",,,,,"BCM2835 USB",,
"power",,,,,"GND",3,"F10",,,,,"BCM2835 USB",,
"power",,,,,"PE",3,"F10",,,,,"BCM2835 USB",,
"component","C70",,,,,3,"B5","capacitor","100n",,,"BCM2835 USB","back",
"component","C84",,,,,3,"A6","capacitor","100n",,,"BCM2835 USB","back",
"component","C19",,,,,3,"A7","capacitor","100p",,,"BCM2835 USB","front",
"component","R18",,,,,3,"B7","resistor","3K9",,,"BCM2835 USB","front",
"component","R36",,,,,3,"D8","resistor","0R0",,"A","BCM2835 USB","back",
"component","R37",,,,,3,"D8","resistor","0R0",,"A","BCM2835 USB","back",
"component","C33",,,,,3,"E8","capacitor","100n",,,"BCM2835 USB","back",
"component","C32",,,,,3,"E8","capacitor (polarized)","47u",,,"BCM2835 USB","front",
"component","F1",,,,,3,"F7","fuse","140m 60V","miniSMDC014","B","BCM2835 USB","front",
"component","C30",,,,,3,"F8","capacitor","100n",,"B","BCM2835 USB","front",
"component","F2",,,,,3,"F8","fuse","140m 60V","miniSMDC014",,"BCM2835 USB","front",
"component","C31",,,,,3,"F8","capacitor","100n",,,"BCM2835 USB","front",
"component","S7",,,,,3,"G10","connector","DUAL USB TYPE A","PD-USB/109",,"BCM2835 USB","front",
"signal",,"IC2","P13","USB_3V3","+3V3",3,"B6",,,,,"BCM2835 USB",,"power"
"signal",,"IC2","N13","USB_1V8","+1V8",3,"B6",,,,,"BCM2835 USB",,"power"
"signal",,"IC2","L18","USB_REF","USB_REF",3,"B6",,,,,"BCM2835 USB",,"data"
"signal",,"IC2","F14","USB_AGND1","GND",3,"B7",,,,,"BCM2835 USB",,"ground"
"signal",,"IC2","V6","USB_AGND2","GND",3,"B7",,,,,"BCM2835 USB",,"ground"
"signal",,"IC2","J18","USB_MONPLL","nc",3,"C6",,,,,"BCM2835 USB",,"nc"
"signal",,"IC2","J17","USB_MONCDR","nc",3,"C6",,,,,"BCM2835 USB",,"nc"
"signal",,"IC2","U16","USB_DM","USB_DM",3,"C6",,,,,"BCM2835 USB",,"data"
"signal",,"IC2","V16","USB_DP","USB_DP",3,"C6",,,,,"BCM2835 USB",,"data"
"signal",,"IC2","K16","USB_OTGID","GND",3,"C7",,,,,"BCM2835 USB",,"ground"
"signal",,"S7","a1","Vcc","+5V0_USBB",3,"G9",,,,,"BCM2835 USB",,"power"
"signal",,"S7","a2","USB D- (Upper)","USB_DM2",3,"G9",,,,,"BCM2835 USB",,"data"
"signal",,"S7","a3","USB D+ (Upper)","USB_DP2",3,"G9",,,,,"BCM2835 USB",,"data"
"signal",,"S7","a4","Gnd","GND",3,"G9",,,,,"BCM2835 USB",,"ground"
"signal",,"S7","b1","Vcc","+5V0_USBA",3,"G9",,,,,"BCM2835 USB",,"power"
"signal",,"S7","b2","USB D- (Lower)","USB_DM3",3,"G9",,,,,"BCM2835 USB",,"data"
"signal",,"S7","b3","USB D+ (Lower)","USB_DP3",3,"G10",,,,,"BCM2835 USB",,"data"
"signal",,"S7","b4","Gnd","GND",3,"G10",,,,,"BCM2835 USB",,"ground"
"signal",,"S7",1,"Shield","PE",3,"G10",,,,,"BCM2835 USB",,"ground"
"signal",,"S7",2,"Shield","PE",3,"G10",,,,,"BCM2835 USB",,"ground"
"signal",,"S7",3,"Shield","PE",3,"G10",,,,,"BCM2835 USB",,"ground"
"signal",,"S7",4,"Shield","PE",3,"G10",,,,,"BCM2835 USB",,"ground"
"power",,,,,"+3V3",3,"C8",,,,,"LAN9512 USB",,
"power",,,,,"GND",3,"B9",,,,,"LAN9512 USB",,
"power",,,,,"GND",3,"B9",,,,,"LAN9512 USB",,
"component","R38",,,,,3,"B8","resistor","12K",,"B","LAN9512 USB","back",
"component","D11",,,,,3,"C8","diode",,"BAS16","B","LAN9512 USB","back",
"component","D10",,,,,3,"D10","diode",,"BAS16","B","LAN9512 USB","back",
"signal",,"IC3",63,"USB_RBIAS","USB_RBIAS",3,"B8",,,,,"LAN9512 USB",,"data"
"signal",,"IC3",44,"CLK24_EN","GND",3,"B9",,,,,"LAN9512 USB",,"ground"
"signal",,"IC3",58,"USB_DM0","USB_DM",3,"C8",,,,,"LAN9512 USB",,"data"
"signal",,"IC3",59,"USB_DP0","USB_DP",3,"C8",,,,,"LAN9512 USB",,"data"
"signal",,"IC3",11,"VBUS_DET","+3V3",3,"C8",,,,,"LAN9512 USB",,"power"
"signal",,"IC3",1,"USB_DM2","USB_DM2",3,"C8",,,,,"LAN9512 USB",,"data"
"signal",,"IC3",2,"USB_DP2","USB_DP2",3,"C8",,,,,"LAN9512 USB",,"data"
"signal",,"IC3",14,"PRTCTRL_2","PRTC_2",3,"C8",,,,,"LAN9512 USB",,"data"
"signal",,"IC3",3,"USB_DM3","USB_DM3",3,"C9",,,,,"LAN9512 USB",,"data"
"signal",,"IC3",4,"USB_DP3","USB_DP3",3,"C9",,,,,"LAN9512 USB",,"data"
"signal",,"IC3",16,"PRTCTRL_3","PRTC_3",3,"C9",,,,,"LAN9512 USB",,"data"
"signal",,"IC3",45,"CLK24_OUT","nc",3,"C9",,,,,"LAN9512 USB",,"nc"
"power",,,,,"+3V3",4,"A1",,,,,"BCM2835 HD",,
"power",,,,,"GND",4,"B1",,,,,"BCM2835 HD",,
"power",,,,,"+3V3",4,"B3",,,,,"BCM2835 HD",,
"signal",,"IC2","E10","VDDIO0_1","+3V3",4,"A1",,,,,"BCM2835 HD",,"power"
"signal",,"IC2","F11","VDDIO0_2","+3V3",4,"A1",,,,,"BCM2835 HD",,"power"
"signal",,"IC2","F12","HD0","GND",4,"B1",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","C11","HD1","GND",4,"B1",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","F16","HD2","GND",4,"B1",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","D11","HD3","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","E11","HD4","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","G11","HD5","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","G16","HD6","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","G10","HD7","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","E17","HD8","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","D17","HD9","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","F9","HD10","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","D10","HD11","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","F10","HD12","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","A8","HD13","GND",4,"B2",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","G9","HD14","GND",4,"B3",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","H8","HD15","GND",4,"B3",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","D14","HA0","GND",4,"B3",,,,,"BCM2835 HD",,"ground"
"signal",,"IC2","C10","HRD_N","+3V3",4,"B3",,,,,"BCM2835 HD",,"power"
"signal",,"IC2","B10","HWR_N","+3V3",4,"B3",,,,,"BCM2835 HD",,"power"
"signal",,"IC2","E12","HCE_N","+3V3",4,"B3",,,,,"BCM2835 HD",,"power"
"signal",,"IC2","E13","HAT","nc",4,"B3",,,,,"BCM2835 HD",,"nc"
"power",,,,,"+1V8",4,"A4",,,,,"BCM2835 CCPTX",,
"power",,,,,"GND",4,"A5",,,,,"BCM2835 CCPTX",,
"signal",,"IC2","P8","CCP2TX_1V8","+1V8",4,"A4",,,,,"BCM2835 CCPTX",,"power"
"signal",,"IC2","V2","CCP2TX_AGND1","GND",4,"A4",,,,,"BCM2835 CCPTX",,"ground"
"signal",,"IC2","R13","CCP2TX_AGND2","GND",4,"A5",,,,,"BCM2835 CCPTX",,"ground"
"signal",,"IC2","R16","CCP2TX_AGND3","GND",4,"A5",,,,,"BCM2835 CCPTX",,"ground"
"signal",,"IC2","P5","CCP2TX_CP","nc",4,"B4",,,,,"BCM2835 CCPTX",,"nc"
"signal",,"IC2","N5","CCP2TX_CN","nc",4,"B4",,,,,"BCM2835 CCPTX",,"nc"
"signal",,"IC2","P6","CCP2TX_DP","nc",4,"B4",,,,,"BCM2835 CCPTX",,"nc"
"signal",,"IC2","N6","CCP2TX_DN","nc",4,"B5",,,,,"BCM2835 CCPTX",,"nc"
"power",,,,,"+1V8",4,"B5",,,,,"BCM2835 CAM0",,
"power",,,,,"GND",4,"B6",,,,,"BCM2835 CAM0",,
"signal",,"IC2","R11","CAM0_CP","nc",4,"A5",,,,,"BCM2835 CAM0",,"nc"
"signal",,"IC2","P11","CAM0_CN","nc",4,"A5",,,,,"BCM2835 CAM0",,"nc"
"signal",,"IC2","N11","CAM0_DP0","nc",4,"A6",,,,,"BCM2835 CAM0",,"nc"
"signal",,"IC2","M11","CAM0_DN0","nc",4,"A6",,,,,"BCM2835 CAM0",,"nc"
"signal",,"IC2","N12","CAM0_DP1","nc",4,"A6",,,,,"BCM2835 CAM0",,"nc"
"signal",,"IC2","M12","CAM0_DN1","nc",4,"A6",,,,,"BCM2835 CAM0",,"nc"
"signal",,"IC2","R10","CAM0_1V8","+1V8",4,"B6",,,,,"BCM2835 CAM0",,"power"
"signal",,"IC2","T5","CAM0_AGND","GND",4,"B6",,,,,"BCM2835 CAM0",,"ground"
"power",,,,,"+1V8",4,"A7",,,,,"BCM2835 DSI0",,
"power",,,,,"GND",4,"A8",,,,,"BCM2835 DSI0",,
"signal",,"IC2","R7","DSI0_1V8","+1V8",4,"A7",,,,,"BCM2835 DSI0",,"power"
"signal",,"IC2","T10","DSI0_AGND","GND",4,"A7",,,,,"BCM2835 DSI0",,"ground"
"signal",,"IC2","T6","DSI0_CP","nc",4,"B7",,,,,"BCM2835 DSI0",,"nc"
"signal",,"IC2","R6","DSI0_CN","nc",4,"B7",,,,,"BCM2835 DSI0",,"nc"
"signal",,"IC2","V5","DSI0_DP0","nc",4,"B7",,,,,"BCM2835 DSI0",,"nc"
"signal",,"IC2","U5","DSI0_DN0","nc",4,"B7",,,,,"BCM2835 DSI0",,"nc"
"signal",,"IC2","V4","DSI0_DP1","nc",4,"B7",,,,,"BCM2835 DSI0",,"nc"
"signal",,"IC2","U4","DSI0_DN1","nc",4,"B7",,,,,"BCM2835 DSI0",,"nc"
"power",,,,,"+1V8",4,"A8",,,,,"BCM2835 SLIM",,
"signal",,"IC2","M4","VDDIO6","+1V8",4,"A8",,,,,"BCM2835 SLIM",,"power"
"signal",,"IC2","M1","SLIM_CLK","nc",4,"B8",,,,,"BCM2835 SLIM",,"nc"
"signal",,"IC2","N3","SLIM_DAT","nc",4,"B9",,,,,"BCM2835 SLIM",,"nc"
"power",,,,,"+3V3",4,"E1",,,,,"Status LEDs",,
"power",,,,,"GND",4,"E3",,,,,"Status LEDs",,
"component","R35",,,,,4,"D2","resistor","1K0",,,"Status LEDs","back",
"component","D5",,,,,4,"D2","diode (light emitting)","GRN",,,"Status LEDs","front",
"component","R34",,,,,4,"E2","resistor","1K0",,,"Status LEDs","back",
"component","D6",,,,,4,"E2","diode (light emitting)","RED",,,"Status LEDs","front",
"power",,,,,"+3V3",4,"E4",,,,,"CSI-2 interface",,
"power",,,,,"GND",4,"F5",,,,,"CSI-2 interface",,
"power",,,,,"+3V3",4,"E5",,,,,"CSI-2 interface",,
"power",,,,,"GND",4,"E6",,,,,"CSI-2 interface",,
"component","R43",,,,,4,"E4","resistor","1K6",,,"CSI-2 interface","back",
"component","R42",,,,,4,"E4","resistor","1K6",,,"CSI-2 interface","back",
"component","C52",,,,,4,"E5","capacitor","100n",,,"CSI-2 interface","back",
"component","S5",,,,,4,"F5","connector","15-pin flat flex","PF-15/026",,"CSI-2 interface","front",
"signal",,"S5",1,,"GND",4,"F3",,,,,"CSI-2 interface",,"ground"
"signal",,"S5",2,,"CAM1_DN0",4,"F4",,,,,"CSI-2 interface",,"data"
"signal",,"S5",3,,"CAM1_DP0",4,"F4",,,,,"CSI-2 interface",,"data"
"signal",,"S5",4,,"GND",4,"F4",,,,,"CSI-2 interface",,"ground"
"signal",,"S5",5,,"CAM1_DN1",4,"F4",,,,,"CSI-2 interface",,"data"
"signal",,"S5",6,,"CAM1_DP1",4,"F4",,,,,"CSI-2 interface",,"data"
"signal",,"S5",7,,"GND",4,"F4",,,,,"CSI-2 interface",,"ground"
"signal",,"S5",8,,"CAM1_CN",4,"F4",,,,,"CSI-2 interface",,"data"
"signal",,"S5",9,,"CAM1_CP",4,"F4",,,,,"CSI-2 interface",,"data"
"signal",,"S5",10,,"GND",4,"F4",,,,,"CSI-2 interface",,"ground"
"signal",,"S5",11,,"CAM_GPIO",4,"F4",,,,,"CSI-2 interface",,"data"
"signal",,"S5",12,,"CAM_CLK",4,"F5",,,,,"CSI-2 interface",,"data"
"signal",,"S5",13,,"SCL1",4,"F5",,,,,"CSI-2 interface",,"data"
"signal",,"S5",14,,"SDA1",4,"F5",,,,,"CSI-2 interface",,"data"
"signal",,"S5",15,,"+3V3",4,"F5",,,,,"CSI-2 interface",,"power"
"power",,,,,"+1V8",4,"D7",,,,,"BCM2835 DSI1",,
"power",,,,,"GND",4,"D8",,,,,"BCM2835 DSI1",,
"signal",,"IC2","R4","DSI1_1V8","+1V8",4,"D8",,,,,"BCM2835 DSI1",,"power"
"signal",,"IC2","T11","DSI1_AGND","GND",4,"D8",,,,,"BCM2835 DSI1",,"ground"
"signal",,"IC2","R1","DSI1_CP","DSI1_CP",4,"D6",,,,,"BCM2835 DSI1",,"data"
"signal",,"IC2","R2","DSI1_CN","DSI1_CN",4,"D6",,,,,"BCM2835 DSI1",,"data"
"signal",,"IC2","P1","DSI1_DP0","DSI1_DP0",4,"D7",,,,,"BCM2835 DSI1",,"data"
"signal",,"IC2","P2","DSI1_DN0","DSI1_DN0",4,"D7",,,,,"BCM2835 DSI1",,"data"
"signal",,"IC2","V3","DSI1_DP1","DSI1_DP1",4,"D7",,,,,"BCM2835 DSI1",,"data"
"signal",,"IC2","U3","DSI1_DN1","DSI1_DN1",4,"D7",,,,,"BCM2835 DSI1",,"data"
"signal",,"IC2","T1","DSI1_DP2","nc",4,"D7",,,,,"BCM2835 DSI1",,"nc"
"signal",,"IC2","T2","DSI1_DN2","nc",4,"D8",,,,,"BCM2835 DSI1",,"nc"
"signal",,"IC2","P3","DSI1_DP3","nc",4,"D8",,,,,"BCM2835 DSI1",,"nc"
"signal",,"IC2","P4","DSI1_DN3","nc",4,"D8",,,,,"BCM2835 DSI1",,"nc"
"power",,,,,"+3V3",4,"E8",,,,,"DSI interface",,
"power",,,,,"GND",4,"E8",,,,,"DSI interface",,
"power",,,,,"GND",4,"F8",,,,,"DSI interface",,
"component","C1",,,,,4,"E8","capacitor","100n",,,"DSI interface","front",
"component","S2",,,,,4,"F8","connector","15-pin flat flex","PF-15/026",,"DSI interface","front",
"signal",,"S2",1,,"GND",4,"F6",,,,,"DSI interface",,"ground"
"signal",,"S2",2,,"DSI1_DN1",4,"F6",,,,,"DSI interface",,"data"
"signal",,"S2",3,,"DSI1_DP1",4,"F6",,,,,"DSI interface",,"data"
"signal",,"S2",4,,"GND",4,"F7",,,,,"DSI interface",,"ground"
"signal",,"S2",5,,"DSI1_CN",4,"F7",,,,,"DSI interface",,"data"
"signal",,"S2",6,,"DSI1_CP",4,"F7",,,,,"DSI interface",,"data"
"signal",,"S2",7,,"GND",4,"F7",,,,,"DSI interface",,"ground"
"signal",,"S2",8,,"DSI1_DN0",4,"F7",,,,,"DSI interface",,"data"
"signal",,"S2",9,,"DSI1_DP0",4,"F7",,,,,"DSI interface",,"data"
"signal",,"S2",10,,"GND",4,"F7",,,,,"DSI interface",,"ground"
"signal",,"S2",11,,"nc",4,"F7",,,,,"DSI interface",,"nc"
"signal",,"S2",12,,"nc",4,"F7",,,,,"DSI interface",,"nc"
"signal",,"S2",13,,"GND",4,"F7",,,,,"DSI interface",,"ground"
"signal",,"S2",14,,"+3V3",4,"F8",,,,,"DSI interface",,"power"
"signal",,"S2",15,,"+3V3",4,"F8",,,,,"DSI interface",,"power"
"power",,,,,"+3V3",4,"H1",,,,,"BCM2835 JTAG",,
"power",,,,,"GND",4,"H2",,,,,"BCM2835 JTAG",,
"component","P2",,,,,4,"G2","header","GPU JTAG","PH-8/001","NF","BCM2835 JTAG","front",
"signal",,"IC2","M13","VDDIO5","+3V3",4,"I2",,,,,"BCM2835 JTAG",,"power"
"signal",,"IC2","N17","TMS","VC_TMS",4,"I2",,,,,"BCM2835 JTAG",,"data"
"signal",,"IC2","N16","TRSTN","VC_TRST_N",4,"I2",,,,,"BCM2835 JTAG",,"data"
"signal",,"IC2","M17","TCK","VC_TCLK",4,"I2",,,,,"BCM2835 JTAG",,"data"
"signal",,"IC2","P17","TDI","VC_TDI",4,"I2",,,,,"BCM2835 JTAG",,"data"
"signal",,"IC2","M18","TDO","VC_TDO",4,"I2",,,,,"BCM2835 JTAG",,"data"
"signal",,"P2",1,,"+3V3",4,"G1",,,,,"BCM2835 JTAG",,"power"
"signal",,"P2",2,,"VC_TRST_N",4,"G2",,,,,"BCM2835 JTAG",,"data"
"signal",,"P2",3,,"VC_TDI",4,"G2",,,,,"BCM2835 JTAG",,"data"
"signal",,"P2",4,,"VC_TDO",4,"G2",,,,,"BCM2835 JTAG",,"data"
"signal",,"P2",5,,"VC_TMS",4,"G2",,,,,"BCM2835 JTAG",,"data"
"signal",,"P2",6,,"VC_TCLK",4,"G2",,,,,"BCM2835 JTAG",,"data"
"signal",,"P2",7,,"GND",4,"G2",,,,,"BCM2835 JTAG",,"ground"
"signal",,"P2",8,,"GND",4,"G2",,,,,"BCM2835 JTAG",,"ground"
"power",,,,,"GND",4,"I5",,,,,"BCM2835 CAM1",,
"signal",,"IC2","V13","CAM1_CP","CAM1_CP",4,"H4",,,,,"BCM2835 CAM1",,"data"
"signal",,"IC2","U13","CAM1_CN","CAM1_CN",4,"H4",,,,,"BCM2835 CAM1",,"data"
"signal",,"IC2","V15","CAM1_DP0","CAM1_DP0",4,"H4",,,,,"BCM2835 CAM1",,"data"
"signal",,"IC2","U15","CAM1_DN0","CAM1_DN0",4,"H4",,,,,"BCM2835 CAM1",,"data"
"signal",,"IC2","V14","CAM1_DP1","CAM1_DP1",4,"H4",,,,,"BCM2835 CAM1",,"data"
"signal",,"IC2","U14","CAM1_DN1","CAM1_DN1",4,"H4",,,,,"BCM2835 CAM1",,"data"
"signal",,"IC2","V12","CAM1_DP2","nc",4,"H5",,,,,"BCM2835 CAM1",,"nc"
"signal",,"IC2","U12","CAM1_DN2","nc",4,"H5",,,,,"BCM2835 CAM1",,"nc"
"signal",,"IC2","V11","CAM1_DP3","nc",4,"H5",,,,,"BCM2835 CAM1",,"nc"
"signal",,"IC2","U11","CAM1_DN3","nc",4,"H5",,,,,"BCM2835 CAM1",,"nc"
"signal",,"IC2","T8","CAM1_AGND","GND",4,"I5",,,,,"BCM2835 CAM1",,"ground"
